init,tally,print
0.0643,39.3223,2.884
0.0685,43.8375,2.7482
0.0655,39.6079,2.6725
0.0679,39.4363,2.235
0.0649,39.2234,2.5934
0.0658,39.2098,2.4546
0.0671,40.3978,2.844
0.0687,39.1769,2.8135
0.066,39.2503,2.8631
0.0675,40.3537,2.4169
0.0591,39.2734,2.7236
0.0684,39.2872,2.4967
0.0687,39.5206,2.583
0.0689,40.784,2.411
0.0634,39.6928,2.6018
0.0652,39.2209,2.7661
0.0798,39.65,2.706
0.0675,40.5711,2.9841
0.0895,42.2785,3.0263
0.0817,39.3218,2.9874
0.0713,43.694,3.0316
0.0707,40.5535,2.6662
0.067,39.6014,2.725
0.0713,39.5072,2.9395
0.0687,39.2104,2.7441
0.0642,40.2412,2.9031
0.065,39.451,2.8421
0.0816,39.4501,2.6378
0.0659,39.7851,2.985
0.0679,40.125,2.6191
0.0639,39.1819,2.7144
0.0704,51.593,2.9524
0.078,39.5838,2.965
0.0718,39.5978,2.7942
0.0656,39.1812,2.5588
0.0635,39.2786,2.7127
0.0664,40.4603,2.5187
0.0603,39.5193,2.6743
0.0971,42.0732,3.0699
0.1072,39.2281,3.1854
0.112,42.9522,2.6731
0.0739,40.3031,2.7497
0.0664,39.172,2.7052
0.0684,39.1562,2.576
0.0619,39.8054,2.7148
0.0655,39.1575,2.9273
